id,N,shots,created,validation_s,compile_s,queue_s,execution_s,postproc_s,billing_window_s,init_teardown_s,credit_cost
019de98b-33dc-7c50-ac70-2d88be5b91af,28,500,2026-05-02T16:35:07.376612Z,0.100117,1.225436,5.173505,6.172726,0.037013,7.398162,1.2254360000000002,6.0
019de98b-76f7-7c00-b972-96c1b290b69a,28,500,2026-05-02T16:35:24.554749Z,0.079444,2.028141,4.440071,6.174992,0.028181,8.203133,2.0281409999999997,6.75
019de98b-b9a3-71f2-803c-8c92b018028b,28,500,2026-05-02T16:35:41.624708Z,0.096317,1.957183,3.457513,6.16732,0.030612,8.124503,1.9571830000000006,6.75
019de98b-f887-71b3-ba85-57f5fbcbe21e,28,500,2026-05-02T16:35:57.723783Z,0.100194,1.951134,4.788612,6.131411,0.02728,8.082545,1.9511339999999997,6.75
019de98c-395f-7d92-b065-2acba3dbf34b,28,500,2026-05-02T16:36:14.331691Z,0.083788,1.991787,3.509608,6.174577,0.038937,8.166364,1.9917869999999995,6.75
019de98c-791d-7852-bcd5-dfe5d6a84f46,28,500,2026-05-02T16:36:30.641588Z,0.098452,1.951403,4.027656,6.097634,0.038477,8.049037,1.951403,6.75
019de98c-b5b9-7193-8d70-751edff86530,28,500,2026-05-02T16:36:46.158623Z,0.095992,1.213584,4.075801,6.157985,0.056051,7.371569,1.213584,6.0
019de98c-f4d0-7f90-91e8-2f62dec3af59,28,500,2026-05-02T16:37:02.307884Z,0.09781,1.992387,4.761949,6.180163,0.028885,8.17255,1.992386999999999,6.75
019de98d-35e0-7562-840d-84d0a50d0d12,28,500,2026-05-02T16:37:18.963936Z,0.096457,1.20476,3.629816,6.163036,0.037256,7.367796,1.2047600000000003,6.0
019de98d-7017-71b3-8015-718cb308b560,28,500,2026-05-02T16:37:33.868028Z,0.094052,2.000543,4.04131,6.169589,0.03456,8.170132,2.0005430000000004,6.75
019de98d-af08-7412-9746-19ba7e072b9d,28,500,2026-05-02T16:37:49.980976Z,0.099111,1.931437,4.029417,6.17599,0.035487,8.107427,1.9314369999999998,6.75
019de98d-eb80-78b2-b0c1-2d42194ffa77,28,500,2026-05-02T16:38:05.459201Z,0.095859,1.975587,4.932633,6.164214,0.043489,8.139801,1.975587,6.75
019de98e-302c-74d0-8d5d-34f1a0bd6beb,28,500,2026-05-02T16:38:23.039870Z,0.098931,1.997537,3.484804,6.174004,0.028804,8.171541,1.9975369999999995,6.75
019de98e-6bee-7493-b6af-9a88f4b64bec,28,500,2026-05-02T16:38:38.340612Z,0.100372,1.866989,4.048465,6.156799,0.035837,8.023788,1.8669889999999993,6.75
019de98e-a9a0-7923-b231-48f88c62e96e,28,500,2026-05-02T16:38:54.136188Z,0.924474,1.189849,4.854029,6.103668,0.02869,7.293517,1.1898489999999997,6.0
019de98e-ed38-7651-a944-e8fe668f5290,28,500,2026-05-02T16:39:11.436637Z,0.097912,1.980355,4.67778,6.168818,0.059693,8.149173,1.9803549999999994,6.75
019de98f-309e-7e33-9629-9222d7b0d935,28,500,2026-05-02T16:39:28.689645Z,0.94602,1.20293,4.325398,6.17029,0.036918,7.37322,1.2029300000000003,6.0
019de98f-7443-75c1-b1a9-c4432ba6b9f7,28,500,2026-05-02T16:39:46.005562Z,0.067849,2.001735,4.632127,6.162132,0.036125,8.163867,2.001735,6.75
019de98f-b634-7443-8f69-27ff05189252,28,500,2026-05-02T16:40:02.889419Z,0.783851,1.183046,4.166785,6.106869,0.038731,7.289915,1.183046,6.0
019de98f-f430-72a1-a6a5-637c63f7eeaa,28,500,2026-05-02T16:40:18.757518Z,0.101428,1.952538,4.833599,6.183984,0.036757,8.136522,1.9525379999999997,6.75
019de990-3875-7d92-a909-c8f91608b4df,28,500,2026-05-02T16:40:36.234734Z,0.100713,2.014594,3.39675,6.122638,0.0356,8.137232,2.014593999999999,6.75
019de990-7411-7d62-bbfa-4940da20777c,28,500,2026-05-02T16:40:51.495743Z,0.097585,1.978635,4.680437,6.135453,0.058435,8.114088,1.9786350000000006,6.75
019de990-b8e9-7af2-a83a-66dd0ca124bd,28,500,2026-05-02T16:41:09.116460Z,0.100117,1.238219,4.272321,6.182566,0.027796,7.420785,1.2382190000000008,6.0
019de990-f61f-70e0-a2c3-4a44241c32ec,28,500,2026-05-02T16:41:24.790923Z,0.097135,1.996213,4.751975,6.146419,0.03759,8.142632,1.996213000000001,6.75
019de991-3909-7062-9581-6e0fbf1cf63b,28,500,2026-05-02T16:41:41.919783Z,0.096607,1.223178,3.481076,6.177057,0.039343,7.400235,1.2231780000000008,6.0
019de991-7272-7181-839d-ec69a2270d33,28,500,2026-05-02T16:41:56.614104Z,0.100125,2.033885,4.076813,6.132683,0.029719,8.166568,2.0338849999999997,6.75
019de991-b025-7071-b7e3-beea18f6562c,28,500,2026-05-02T16:42:12.407918Z,0.098781,1.229411,4.788484,6.174207,0.026832,7.403618,1.2294109999999998,6.0
019de991-efec-74e3-bf43-94305250b0fe,28,500,2026-05-02T16:42:28.736431Z,0.101106,1.961341,4.797592,6.061512,0.033498,8.022853,1.961341,6.75
019de992-31bd-7af0-88ef-344a979422cd,28,500,2026-05-02T16:42:45.583867Z,0.103908,2.04189,3.437832,6.19024,0.027447,8.23213,2.0418899999999995,6.75
019de992-7040-7cc3-9039-9314799f006e,28,500,2026-05-02T16:43:01.588829Z,0.099573,2.064667,4.082578,6.159481,0.027059,8.224148,2.064666999999999,6.75
019de992-ad40-79a3-ba54-80acda44e999,28,500,2026-05-02T16:43:17.203179Z,0.080269,1.218469,4.022274,6.126399,0.03412,7.344868,1.2184689999999998,6.0
019de992-e6ef-7811-84bf-289562a9c8eb,28,500,2026-05-02T16:43:31.971872Z,0.099961,1.990914,4.888164,6.162067,0.02694,8.152981,1.990914,6.75
019de993-2ad4-7ca1-8c37-c827a739eaa9,28,500,2026-05-02T16:43:49.350224Z,0.823363,1.225419,4.289824,6.149199,0.027871,7.374618,1.2254189999999996,6.0
019de993-6bbb-7360-b11f-a8b859c6e30e,28,500,2026-05-02T16:44:05.972262Z,0.876735,1.237199,4.951297,6.146275,0.028029,7.383474,1.2371989999999995,6.0
019de993-af1c-7891-897a-7b7f7921aa84,28,500,2026-05-02T16:44:23.214528Z,0.094865,1.241065,4.057268,6.170158,0.026529,7.411223,1.2410649999999999,6.0
019de993-e7d7-7fc2-8fb0-0abd168eb46f,28,500,2026-05-02T16:44:37.739633Z,0.097924,1.983227,4.752694,6.172242,0.059092,8.155469,1.9832270000000003,6.75
